brand,tag,question,content
미니학습지,오류,강의 버퍼링이 심한 경우 초간단 해결방법,"<p><b>강의 버퍼링이 심할 때 해결 방법</b></p>
<p>* 미니학습지는 <b>구글 크롬 브라우저</b>에 최적화되어 있습니다.</p>

<p><b>1. 재생 플레이어 변경</b></p>
<p>미니학습지는 두 가지 플레이어를 제공합니다. 각 영상 상단 왼쪽에서 선택할 수 있습니다.</p>
<ul>
<li><b>초고화질(플레이어 1)</b>: 최대 1080p 재생 지원. 지역이나 접속 환경에 따라 버퍼링이 발생할 수 있습니다.</li>
<li><b>고화질(플레이어 2)</b>: 최대 720p 재생 지원. 버퍼링이 심한 경우 가장 원활하게 영상을 재생할 수 있습니다. 모바일 환경에서도 충분한 화질을 제공합니다.</li>
</ul>
<p>※ 자막이 있는 영상은 <u>초고화질(플레이어 1)</u>로만 제공됩니다.</p>

<p><b>2. 재생 환경 설정 변경 (플레이어 1 전용)</b></p>
<p><a href=""https://player.vimeo.com/flags?p=general"" target=""_blank"">여기</a>를 클릭하여 CDN 설정을 변경하세요.<br />
[CDN Priority]를 Disabled에서 <b>Akamai</b>로 변경합니다.</p>

<p>그 외에도 문제가 지속된다면 미니학습지로 문의해 주세요.</p>
<p><a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a></p>

"
미니학습지,환불,환불 가능 기간과 금액은 어떻게 되나요?,"<p><b>청약철회 및 환불 규정</b></p>
<a href=""https://studymini.com/termsofuse/""><u>이용약관</u></a> 참조 

<ul>
  <li><b>도서</b>
    <ul>
      <li>출고 전: 결제일로부터 7일 이내 전액 환불.</li>
      <li>출고 후: 결제일로부터 14일 이내 반품 확인 시 환불 가능 (배송비 회원 부담).</li>
      <li>손실·훼손 시 도서 금액을 제외한 강의료만 환불.</li>
      <li>결제일로부터 14일 이후 단순 변심 환불 불가.</li>
    </ul>
  </li>

  <li><b>인터넷 강의</b>
    <ul>
      <li>구매일로부터 7일 이내, 5강 미만 수강 시 전액 환불 가능 (단순 변심 포함).</li>
      <li>7일 이후에는 <i>학원설립 운영에 관한 법률 시행령</i>에 따라 환불됩니다.
        <ul>
          <li>교습 시작 전: 전액 환불</li>
          <li>교습시간 1/3 경과 전: 수강료 2/3 환불</li>
          <li>교습시간 1/2 경과 전: 수강료 1/2 환불</li>
          <li>교습시간 1/2 이상 경과: 환불 불가</li>
        </ul>
        <i>※ 모든 강의의 교습시간은 2개월입니다.</i>
        <i>※ 일부 단기특강 및 다운로드 가능한 강좌는 환불 불가</i>
      </li>
      <li>함께 구입한 교재·재화는 미사용·미훼손 시에만 환불 가능합니다.</li>
    </ul>
  </li>

  <li><b>어학원 강의</b>
    <ul>
      <li>수업 시작 전: 전액 환불.</li>
      <li>수업 시작 후: 법령 기준에 따른 환불 진행.</li>
    </ul>
  </li>

  <li><b>디지털 콘텐츠 (PDF, 영상, 음원, 스트리밍 등)</b>
    <ul>
      <li>다운로드 전: 구매일로부터 7일 이내 전액 환불 가능.</li>
      <li>다운로드 시작 후 또는 파일 분실·상실 시: 환불 불가.</li>
    </ul>
  </li>
</ul>

<p><b>환불 절차 및 유의사항</b></p>
<ul>
  <li>환불 요청은 반드시 서면으로 신청해야 하며, 환불신청서를 작성해야 합니다.</li>
  <li>현금 환불은 신청일 기준 약 1주일 소요되며, 반드시 본인 명의 계좌로 이체됩니다.</li>
  <li>카드 환불은 카드사 정책에 따라 처리 기간이 상이할 수 있습니다.</li>
</ul>"
미니학습지,배송,군부대도 발송가능한가요?,"<p><b>군부대 배송 안내</b></p>
<ul>
<li>군부대와 같이 주소가 사서함인 경우, <b>우체국을 통해 발송</b>이 가능합니다.</li>
<li>주소가 사서함이 아니더라도 우체국 택배만 수령 가능한 경우, 결제 단계에서 <b>배송 메모</b>를 남기거나 별도(<a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>)로 알려주셔야 합니다.</li>
</ul>"
미니학습지,배송,주문 상품 중 일부가 배송되지 않았습니다.,"<p><b>주문 상품 일부가 배송되지 않은 경우</b></p>
<p>발송 중 누락된 상품이 있다면 주문 내역을 확인한 후, 누락된 교재나 상품을 <b>무상으로 신속하게 재발송</b>해 드립니다. <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>로 요청 부탁드립니다.</p>"
미니학습지,배송,주문한 것과 다른 교재가 왔습니다.,"<p><b>주문한 것과 다른 교재가 배송된 경우</b></p>
<p>오배송이 발생하면 알려주시면 됩니다. 받으신 교재는 <b>반송 처리</b>해 드리며, 주문 내역을 확인 후 올바른 교재를 <b>다시 발송</b>해 드립니다. <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>로 요청 부탁드립니다.</p>"
미니학습지,배송,교재를 받았는데 훼손되었습니다.,"<p><b>교재가 훼손되어 수령된 경우</b></p>
<p>인쇄 또는 배송 과정에서 훼손된 교재를 받으셨다면, 사진과 함께 알려주세요. 확인 후 즉시 <b>새 교재를 무상으로 재발송</b>해 드립니다. <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>로 요청 부탁드립니다.</p>"
미니학습지,증명서,회사에 제출할 수강 증명서(영수증) 발급 가능한가요?,"<p><b>수강증명서 발급 안내</b></p>
<p>제출용 수강확인증(수료증) 및 출석확인증 발급이 가능합니다.</p>
<p>아래 신청 폼을 통해 요청해 주세요.</p>

<p><a href=""https://forms.gle/8fUZHRRFsfW91Zzq9"" target=""_blank""><u>신청하기</u></a></p>"
미니학습지,계정,기타 개인 정보를 변경하고 싶습니다.,"<p><b>개인정보 변경 안내</b></p>
<p>[마이페이지 → 프로필 수정 / 배송지 관리]에서 개인정보를 변경할 수 있습니다.</p>
<p>단, 이미 완료된 주문에는 변경된 정보가 반영되지 않으므로, 이 경우에는 별도로 문의해 주셔야 합니다.</p>

<p><a href=""https://studymini.com/my-account/"" target=""_blank""><u>마이페이지</u></a> 바로가기</p>"
미니학습지,계정,아이디를 변경할 수 있나요?,"<p><b>아이디(이메일) 변경 안내</b></p>
<p><u>최초 회원가입 시 사용한 이메일은 변경할 수 없습니다.</u></p>
"
미니학습지,계정,비밀번호 찾기,"<p><b>비밀번호 찾기 안내</b></p>
<p>로그인 페이지에서 <b>비밀번호를 잊으셨나요</b>를 클릭하시거나 혹은 <a href=""https://studymini.com/lostpassword/"" target=""_blank""><u>비밀번호 찾기 페이지</u></a>를 통해 비밀번호 재설정이 가능합니다.</p>

<p><b>이메일이 확인되지 않을 경우</b></p>
<ol>
<li>메일함이 가득 차 있는 경우 추가 메일을 수신할 수 없습니다.</li>
<li>스팸메일함을 확인해 주세요. <i>support@studymini.com</i> 또는 <i>info@studymini.com</i>으로 발송된 메일을 직접 검색해 보실 수 있습니다.</li>
</ol>

<p>위 방법으로도 메일을 수신하지 못했거나 비밀번호 재설정이 어려운 경우, 홈페이지를 통해 문의해 주시면 확인 후 안내해 드립니다.</p>
<p><a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a></p>"
미니학습지,증명서,연말정산 영수증 받을 수 있나요?,"<p><b>연말정산 영수증 발급 안내</b></p>
<p>교육비 납입 영수증(연말정산용) 신청이 가능합니다.</p>

<p><b>[유의사항]</b></p>
<p>발급되는 교육비 납입 영수증은 주로 재직 중인 회사(근무지)에 제출하는 용도의 파일이며, <b>국세청 연말정산 자료에는 직접적으로 사용하기 어렵습니다.</b></p>

<p><a href=""https://forms.gle/8fUZHRRFsfW91Zzq9"" target=""_blank""><u>신청하기</u></a></p>"
미니학습지,수강,강의를 무상으로 시청할 수 있나요?,"<p>미니학습지는 <b>구매자 본인</b>에 한하여 강의를 <b>수강 기간 제한 없이 무상 제공</b>합니다.  
<a href=""https://studymini.com/notice/?uid=60287&amp;mod=document&amp;pageid=1"" target=""_blank"">관련 공지사항 확인하기</a></p>

<p><b><u><i>구매자 본인이 아닌 경우(계정 공유, 중고거래 재판매 등)</i></u></b>에는 수강 기간 연장이 제한될 수 있습니다.</p>

<p>제품을 아껴주신다면 끝까지 학습을 마치실 수 있도록 함께 응원하겠습니다.</p>

<p>※ 천재지변이나 폐업 등의 사유로 강의 제공이 불가능한 경우 수강 연장이 불가할 수 있습니다.<br />  
※ 기업 제휴 수강권, VOD 강좌, 이벤트 강좌는 수강 연장이 불가합니다.</p>"
미니학습지,오류,로그인 오류,"<p><b>로그인 오류 안내</b></p>
<p>로그인 시 로딩 화면만 나오고 접속이 되지 않는 경우는 <b>짧은 시간 내 5회 이상 잘못된 비밀번호 입력</b>으로 인해 발생합니다.</p>
<p>보안을 위해 해당 IP에서는 <b>1시간 동안 로그인 및 비밀번호 변경이 제한</b>됩니다. 이는 승인되지 않은 접근이나 봇 접속 차단을 위한 조치이기도 합니다.</p>

<p><b>해결 방법</b></p>
<ol>
<li>⓵ 비밀번호를 변경 후 로그인하거나, <u>1시간 뒤 다시 로그인</u>을 시도하세요.</li>
<li>⓶ 다른 IP로 접속해 로그인 또는 비밀번호 변경을 시도하세요.<br />예: 와이파이를 변경하거나 해제 후 접속<br />IP 확인: <a href=""https://whatsmyip.com/"" target=""_blank"">https://whatsmyip.com/</a></li>
<li>⓷ 다음 메일 또는 사내 계정으로 가입한 경우, 비밀번호 변경 메일이 원활히 수신되지 않을 수 있습니다. 자세한 내용은 <a href=""https://www.notion.so/dreammakers/562f854cc4664fe6b651ac6b2d6b54cc"" target=""_blank"">이 안내</a>를 참고해 주세요.</li>
</ol>"
미니학습지,더노트앱,미니학습지 더노트 앱 유저가이드,"<p>미니학습지 더노트 앱 출시 이후 많은 분들이 더노트 앱을 활용하여 <b>스마트</b>하게 공부하고 있습니다.</p>
<p>이곳에서 상세한 유저 가이드와 자주 묻는 질문을 확인해 보세요!</p>
<p><u>바로가기</u></p>
<ul>
<li><a href=""https://studymini.com/thenote/"" target=""_blank"">더노트 앱 다운로드</a></li>
<li><a href=""https://dreammakers.notion.site/User-Guide-a213ae56d4e340d794584bed4076b144"" target=""_blank"">더노트 앱 유저 가이드</a></li>
<li><a href=""https://dreammakers.notion.site/FAQ-ae53b79899d34356a70ca451fc5c2c9d"" target=""_blank"">자주 묻는 질문(FAQ)</a></li>
<li><a href=""https://youtube.com/playlist?list=PLqB-MfO7jH11_fAsD3V6Eb4kNOe2jqXK4"" target=""_blank"">사용가이드 1~3탄 재생목록</a></li>
</ul>
<p>https://www.youtube.com/embed/avPL35ojPIw?enablejsapi=1&amp;origin=https%3A%2F%2Fstudymini.com</p>
<p><b>※ 주의사항</b></p>
<p>앱에 저장된 정보는 앱 삭제 시 복구할 수 없습니다. “교재에 권한이 없다”, “토큰이 만료되었습니다” 등의 안내는 앱 로그인 만료로 발생할 수 있으니 아래 방법을 순서대로 시도해 주세요.</p>
<ol>
<li>⓵ <b>로그아웃 후 재로그인</b></li>
<li>⓶ <b>앱 강제 종료</b></li>
<li>⓷ <b>기기 재부팅</b></li>
</ol>
<p>위 방법으로도 해결되지 않으면 추가 안내를 받아주세요. 필요한 경우, 다운로드하여 필기한 교재는 반드시 백업해 두시기 바랍니다.</p>
"
미니학습지,더노트앱,앱은 어디서 다운받을 수 있나요?,"<p>미니학습지 더노트 앱은 <b>애플 앱스토어</b>와 <b>구글 플레이스토어</b>에서 다운로드해 이용할 수 있습니다.</p>
<p>앱은 <b>모바일</b>과 <b>태블릿 PC</b>에서 사용 가능하며, 노트북과 데스크탑은 지원하지 않습니다.</p>
<p><a href=""https://studymini.com/thenote/"" target=""_blank"">미니학습지 더노트 앱 다운로드</a></p>
"
미니학습지,더노트앱,앱은 무료인가요?,"<p><b>네, 앱은 무료입니다!</b></p>
<ul>
<li>누구나 무료로 다운로드하여 이용할 수 있으며, 다양한 샘플 강의와 학습자료가 제공됩니다.</li>
<li>학습지를 구입한 경우, 앱에서 디지털 학습지를 다운로드하거나 해당 강의를 시청하는 것은 무상으로 지원됩니다.</li>
<li>추가 수강을 원한다면 미니학습지 홈페이지에서 결제를 진행해야 합니다.</li>
</ul>"
미니학습지,더노트앱,결제한 강좌의 디지털 교재는 언제부터 받을 수 있나요?,"<p>홈페이지에서 결제가 완료되면 곧바로 <b>미니학습지 더노트 앱</b>의 ‘도서 불러오기’ 기능을 통해 디지털 교재를 다운로드할 수 있습니다.<br />단, 인터넷 환경에 따라 약간의 시차가 발생할 수 있습니다.</p>
<p>구매 후 다운로드할 파일이 보이지 않는다면, 해당 과정에서 디지털 학습자료가 제공되는지 먼저 확인해 주세요.</p>
"
미니학습지,더노트앱,교재 다운로드 횟수가 정해져 있나요?,"<p><b>교재 다운로드는 수강 기간 내 무제한으로 가능합니다.</b></p>
<p>미니학습지 더노트 앱에서 수강 권한이 있는 디지털 학습지는 제약 없이 자유롭게 다운로드할 수 있습니다.</p>
"
미니학습지,더노트앱,동시 접속 가능 기기 대수,"<p><b>동시 접속은 최대 3대의 기기까지 가능합니다.</b></p>
<ul>
<li>구매한 학습지 및 강의는 <b>구매자 본인만</b> 사용할 수 있으며, 계정 양도 및 공유는 엄격히 금지됩니다.</li>
<li>동시 접속 가능한 기기 수는 최대 3대로 제한됩니다.</li>
<li>브라우저, 휴대폰, PC, 노트북, 앱 등은 각각 별도의 기기로 인식됩니다.</li>
</ul>
"
미니학습지,더노트앱,강의 영상 다운로드가 가능한가요?,"<p><b>강의 영상은 다운로드가 불가능하며, 스트리밍 방식으로만 시청할 수 있습니다.</b></p>
<p>따라서 반드시 인터넷, 데이터, 또는 와이파이가 연결된 환경에서 수강해 주세요 :)</p>
"
미니학습지,더노트앱,백업과 복원 기능에 대하여,"<p><b>백업 & 복원 기능 안내</b></p>
<ul>
<li>미니학습지 더노트 앱은 개인식별이 가능한 필기·필적 정보를 서버에 저장하지 않습니다.</li>
<li>앱에 작성된 학습 자료는 삭제 시 복원되지 않으므로, 앱을 삭제하기 전 반드시 백업 파일을 생성해 주세요.</li>
<li>2022년 4월 4일 업데이트 이후 다운로드한 학습자료는 계정에 귀속됩니다. 다른 계정으로 로그인한 기기에서는 복원이 불가합니다.</li>
<li>동일 계정으로 접속해도 필기 데이터는 자동 동기화되지 않습니다.</li>
<li>수강완료 표시나 학습문답 기록은 어떤 기기에서든 유지됩니다.</li>
</ul>
<p><a href=""https://www.notion.so/dreammakers/61d3ede4e8124daa8e02b67c708a412f?pvs=4"" target=""_blank"">백업 & 복원 기능 알아보기</a></p>
"
미니학습지,더노트앱,다운받은 학습지를 인쇄하거나 다른 앱에서 열어볼 수 있나요?,"<p><b>앱에서 다운로드한 학습지는 외부로 내보내기나 인쇄가 불가능합니다.</b></p>
<p>또한 <b>미니학습지 더노트 앱</b> 외의 클라우드 서비스나 다른 애플리케이션과 연동되지 않습니다.</p>
"
미니학습지,더노트앱,오늘의 회화-오늘의 학습퀴즈를 한 화면에서 보고 싶습니다.,"<p><b>두 쪽 보기 모드에서 '오늘의 회화'와 '오늘의 학습퀴즈'가 한 페이지에 보이지 않는 경우</b></p>
<p>PDF 교재 특성상 표지부터 페이지가 시작되어 발생하는 현상입니다. 아래 두 가지 방법으로 해결할 수 있습니다.</p>
<ol>
<li>⓵ [설정 &gt; 실험실 기능]에서 <b>한 페이지씩 넘기기</b> 기능을 활성화합니다.</li>
<li>⓶ 페이지 목록을 열어 표지 뒤에 임의의 빈 페이지를 삽입합니다.</li>
</ol>

<p>https://studymini.com/wp-content/uploads/kboard_attached/2/202306/6482d715c85fc9261728.png</p>"
미니학습지,더노트앱,수강기간이 지나도 교재를 볼 수 있나요?,"<p><b>수강 기간이 지나도 다운로드한 교재는 계속 이용할 수 있습니다.</b></p>
<ul>
<li>수강 기간이 지난 경우에도 이미 다운로드한 학습지는 열람이 가능하지만, <b>추가 다운로드는 제한</b>됩니다.</li>
<li>다운로드한 교재의 필기는 수강 기간이 지나더라도 보존되어 계속 확인할 수 있습니다.</li>
<li>단, 다운로드한 파일을 삭제하거나 앱을 삭제하면 복원되지 않으므로 주의가 필요합니다.</li>
</ul>
"
미니학습지,더노트앱,토근이 만료되었습니다.,"<p><b>“토큰이 만료되었습니다.” 또는 “The token has expired already.”라는 문구 안내</b></p>
<p>이 문구는 보안 정책에 따라 <b>로그인 기한이 만료</b>되어 발생하는 현상입니다.<br />로그아웃 후 다시 로그인하면 정상적으로 이용할 수 있습니다.</p>
"
미니학습지,더노트앱,구입한 교재가 모두 보이지 않습니다.,"<p><b>교재가 모두 보이지 않을 때 확인 방법</b></p>
<ol>
<li>⓵ 강의가 업로드 중인 경우 현재 오픈된 단계의 학습지까지만 다운로드할 수 있으며, 이후 단계가 오픈되면 교재도 함께 제공됩니다.</li>
<li>⓶ 이미 오픈이 완료된 강좌인데 교재가 보이지 않는 경우 <a href=""https://studymini.com/inquiry/"" target=""_blank""><u>1:1 문의하기</u></a>를 통해 문의해 주세요.</li>
</ol>
"
